62
c5888 c72460
c38307 c96040
c38059 c85818
c38044 c33768
c18449 c99139
c18459 c46981
c77340 c41165
c77414 c23647
c18958 c96593
c43928 c92338
c44076 c4001
c10676 c91004
c10652 c73524
c10824 c12878
c44108 c36249
c83594 c43199
c10615 c26478
c10568 c74453
c19507 c81964
c19440 c14564
c44405 c21361
c10957 c9462
c10977 c66200
c6071 c53795
c83907 c2087
c44218 c77740
c58821 c34620
c83860 c61741
c83860 c72430
c19384 c49546
c24454 c74730
c38876 c74248
c6320 c32886
c58224 c27713
c97973 c23035
c83343 c23647
c6607 c96382
c83291 c54456
c58062 c43537
c58010 c1148
c6913 c411
c97770 c11941
c24734 c5003
c97674 c3770
c37089 c40688
c37057 c97594
c76392 c34973
c17959 c20042
c62472 c42776
c37415 c61588
c62350 c72050
c62276 c13560
c56863 c806
c17117 c38093
c17239 c54456
c81604 c10266
c76035 c80289
c42820 c92668
c42825 c57936
c17570 c79687
c42657 c20622
c42658 c23554
c17621 c82871
c17601 c86709
c23791 c54211
c7047 c32726
c82733 c84216
c57844 c84865
c7076 c72511
c7352 c22162
c7354 c72503
c82639 c73488
c57634 c87646
c7542 c38132
c23164 c22303
c37784 c86183
c37731 c66071
c23210 c40465
c7804 c86857
c23095 c79548
c82078 c15229
c82090 c88362
c23603 c14012
c23326 c68083
c96416 c79962
c62913 c48858
c96314 c78065
c90931 c83982
c51187 c32740
c90969 c80885
c99307 c4317
c90790 c98123
c65816 c88548
c90800 c28672
c65880 c3184
c65773 c83561
c26186 c89682
c51680 c30717
c26625 c64368
c12166 c50007
c79699 c25487
c79515 c37428
c31418 c48616
c31371 c97297
c65488 c81115
c90339 c60124
c46658 c19515
c46639 c69150
c8213 c96568
c8190 c91016
c8698 c56023
c8692 KL
c71823 c80103
c71859 c4726
c46973 c70734
c8822 c20987
c12451 c55960
c85403 c94694
c12396 c30396
c99856 c96643
c85227 c34899
c85703 c95121
c50 c14913
c90 c28472
c71144 c64931
c12725 c50163
c39593 c63743
c64652 c11320
c50003 c16731
c64377 c18823
c39481 c75829
c39434 c2961
c78930 c62967
c78936 c67824
c78989 c2909
c50314 c59423
c39960 c69853
c98443 c7844
c98466 c28550
c25485 c62572
c50409 c36382
c50145 c40696
c30296 c49788
c30427 c44984
c78070 c88231
